Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Label
2741.878148,2427.675976,5100.512507,AI
2709.786953,2426.850007,5041.938348,AI
2692.338373,2436.823488,5053.295602,AI
2706.641888,2424.661526,5044.75955,AI
1920.998371,1819.959363,3571.402336,AI
1943.121331,1847.849995,3608.912206,AI
1991.449863,1829.183954,3662.218714,AI
2682.502362,2386.369685,4950.861403,AI
2811.840788,2484.300744,5273.955708,AI
2513.747163,2306.070684,4655.442148,AI
2478.407929,2283.559556,4580.947972,AI
2532.058854,2281.462153,4640.671201,AI
2484.535951,2261.263284,4587.997733,AI
2428.268742,2253.977703,4508.776628,AI
2441.747099,2263.861224,4519.935419,AI
1710.933923,1945.330686,3243.579874,Human
1572.307433,1799.542735,2944.992884,Human
1698.614913,1985.972133,3327.955637,Human
1992.04269,1518.890765,3498.750843,Human
1573.950195,1135.643901,2692.030433,Human
1594.051241,1199.116833,2707.358288,Human
1781.151539,1257.47471,3005.402171,Human
1906.005049,1522.616647,3402.754822,Human
1946.414017,1547.216132,3476.58528,Human
1687.604758,2063.662075,3398.636946,Human
1401.240985,1830.018076,2783.126046,Human
1364.561528,1815.797115,2705.423052,Human
2116.890312,2429.818925,4159.605466,Human
2038.073466,2275.537066,3912.029675,Human
2106.31681,2217.952069,4072.400329,Human
